vague,A wandering; a vagary.
reared,To bring up to maturity, as offspring; to educate; to instruct; to foster.
potent,A heraldic fur formed by a regular tessellation of blue and white T shapes.
LOWNDES,NA
anguish,Extreme pain, either of body or mind; excruciating distress.
conjecture,A statement or an idea which is unproven, but is thought to be true; a guess.
proclamation,A statement which is proclaimed; formal public announcement.
exuding,To discharge through pores or incisions, as moisture or other liquid matter; to give out.
Signals,A sequence of states representing an encoded message in a communication channel.
yanked,To pull (something) with a quick, strong action.
inadvertent,Not intentional; not on purpose; not conscious.
bewildered,To confuse, disorientate, or puzzle someone, especially with many different choices.
entanglements,The state of being entangled; intricate and confused involution.
compadres,A friend or companion.
comprehension,Thorough understanding
plethora,(usually followed by of) An excessive amount or number; an abundance.
cue,NA
rplexing,NA
unraveling,To separate the threads (of); disentangle.
slithering,To move about smoothly and from side to side.
ortmenl,NA
furtive,Stealthy.
horrendous,Extremely bad; awful; terrible.
rebuff,A sudden resistance or refusal.
nres,NA
plumage,Layer or collection of feathers covering a bird’s body; feathers used ornamentally.
pudgy,Fat, overweight (pertaining particularly to children), plump; chubby.
prevalence,The quality or condition of being prevalent; wide extension or spread.
ulations,NA
nibbles,A small, quick bite taken with the front teeth.
fluttering,To flap or wave quickly but irregularly.
frivolous,Silly, especially at an inappropriate time or in an inappropriate manner.
ivory,The hard white form of dentin which forms the tusks of elephants, walruses and other animals.
ramparts,A defensive mound of earth or a wall with a broad top and usually a stone parapet; a wall-like ridge of earth, stones or debris; an embankment for defensive purpose.
course,A sequence of events.
sp,A reduction in consumer cost (usually for a limited time) for items or services rendered.
entice,To lure; to attract by arousing desire or hope.
su,NA
fraught,The hire of a ship or boat to transport cargo.
bawling,To shout or utter in a loud and intense manner.
soared,To fly high with little effort, like a bird.
heed,Careful attention.
n,North
consensus,A process of decision-making that seeks widespread agreement among group members.
virtuoso,An expert in virtù or art objects and antiquities; a connoisseur.
primping,To spend time improving one's appearance, often in front of a mirror.
invasion,A military action consisting of armed forces of one geopolitical entity entering territory controlled by another such entity, generally with the objective of conquering territory or altering the established government.
eXQuisitely,In an exquisite manner.
nukes,A small corner formed by two walls; an alcove.
reluctantly,In a reluctant or hesitant manner.
panned,To wash in a pan (of earth, sand etc. when searching for gold).
contrived,To invent by an exercise of ingenuity; to devise
entific,NA
maestro,A master in some art, especially a composer or conductor.
LEIL,NA
infuri,NA
bait,Any substance, especially food, used in catching fish, or other animals, by alluring them to a hook, snare, trap, or net.
ntbulous,NA
scrupulous,Exactly and carefully conducted.
huddle,A dense and disorderly crowd.
subliminal,(of a stimulus) Below the threshold of conscious perception, especially if still able to produce a response.
peering,To look with difficulty, or as if searching for something.
callous,Emotionally hardened; unfeeling and indifferent to the suffering/feelings of others.
twitching,The motion of something that twitches.
lax,A salmon.
stunner,Anything that is stunning.
sequestered,To separate from all external influence; to seclude; to withdraw.
flummoxed,To confuse; to fluster; to flabbergast.
squiggle,A short twisting or wiggling line or mark
solely,Alone; exclusively.
exasperated,To tax the patience of, irk, frustrate, vex, provoke, annoy; to make angry.
scrunches,To grind with the teeth, and with a crackling sound; to craunch.
squeal,A high-pitched sound, such as the scream of a child, or noisy worn-down brake pads.
Infatuation,An immensely strong love or sexual attraction.
exasperating,To tax the patience of, irk, frustrate, vex, provoke, annoy; to make angry.
applauded,To express approval (of something) by clapping the hands.
Proxmire,NA
duul,NA
bUminal,NA
astounded,To astonish, bewilder or dazzle.
bestow,To lay up in store; deposit for safe keeping; to stow or place; to put something somewhere.
enticing,To lure; to attract by arousing desire or hope.
swirling,To twist or whirl, as an eddy.
hither,On this side; the nearer.
ranting,To speak or shout at length in uncontrollable anger.
fuzzy,(often in the plural) A very small piece of plush material.
prospectjve,NA
spewing,To eject forcibly and in a stream
exude,To discharge through pores or incisions, as moisture or other liquid matter; to give out.
crib,A baby’s bed with high, often slatted, often moveable sides, suitable for a child who has outgrown a cradle or bassinet.
suspicion,The act of suspecting something or someone, especially of something wrong.
endeavor,A sincere attempt; a determined or assiduous effort towards a specific goal; assiduous or persistent activity.
perched,To rest on (or as if on) a perch; to roost.
catapulted,To fire a missile from a catapult.
drew,To move or develop something.
frowns,A facial expression in which the eyebrows are brought together, and the forehead is wrinkled, usually indicating displeasure, sadness or worry, or less often confusion or concentration.
oblivious,(usually followed by to or of) Lacking awareness; unmindful; unaware, unconscious of.
intoxicated,To stupefy by doping with chemical substances such as alcohol.
